driver_kind,decl_id,decl_name,seat_role,holder_role,hidden_domino,action_n,mean_score,max_score,mean_q_delta,tail_low_mass_delta,shelf_high_mass_delta,conditioned_mass
downside,9,no-trump,bidder_partner,left_setter,4-0,28,8.727980698857989,39.06022644042969,-7.0014753341674805,0.12753549005304063,-0.0902300908097199,0.27654985119047615
downside,8,doubles-suit,bidder,left_setter,5-2,156,8.724069060423435,23.28265380859375,-7.171780933172275,0.1117096447582858,-0.08703832880471452,0.38278717376373633
downside,0,blanks,right_setter,bidder,5-5,742,8.72314643542561,28.721435546875,-7.004597334206265,0.1128681711694872,-0.11794961419777387,0.314540587697343
downside,7,doubles,bidder,bidder_partner,3-3,3,8.720779418945312,9.671014785766602,-8.181193987528482,0.0,-0.10791708528995514,0.3113194444444444
downside,8,doubles-suit,bidder,bidder_partner,1-0,265,8.720424502750612,46.678001403808594,-7.252260616590392,0.05251097117467204,-0.1884711897773844,0.2932150943396228
downside,5,fives,bidder_partner,bidder,3-2,366,8.711986259195974,25.210535049438477,-7.462197959097357,0.07423730465727273,-0.10137925029107589,0.2906176408404896
downside,9,no-trump,bidder_partner,bidder,5-2,117,8.708482547702951,33.71571350097656,-7.277280654662695,0.08028594744824566,-0.12566420182776758,0.25262754375254376
downside,0,blanks,left_setter,bidder_partner,6-4,200,8.7084420889616,44.26228332519531,-7.015977361798287,0.11214770744860289,-0.11416151153855025,0.38418705357142874
downside,1,ones,right_setter,bidder_partner,5-3,36,8.700884832276238,21.571523666381836,-6.777891834576924,0.12628874725972614,-0.1320210916714536,0.2972986111111111
downside,7,doubles,left_setter,bidder_partner,3-3,298,8.69939257634566,25.06751251220703,-7.36594403270107,0.08700809570384094,-0.09248597464905489,0.412611207654202
downside,8,doubles-suit,right_setter,bidder,5-2,176,8.698219534348357,40.88706588745117,-6.892051369629123,0.11678557579447939,-0.12766247923189605,0.38213301542207834
downside,9,no-trump,right_setter,left_setter,5-2,49,8.695668539222407,43.52244567871094,-7.3612474592364565,0.08180358511875668,-0.10323579426930875,0.2901174684159377
downside,9,no-trump,left_setter,right_setter,0-0,27,8.69170265727573,12.368733406066895,-6.661780021808766,0.13671925801921775,-0.13254599880289147,0.06135956790123454
downside,2,twos,right_setter,left_setter,1-0,150,8.688842329184213,40.47644805908203,-7.3057784295082095,0.08823551259702071,-0.10002121845881144,0.2866479166666668
downside,9,no-trump,right_setter,left_setter,3-2,182,8.686315185421115,53.47183609008789,-7.565763769568978,0.07177915071344494,-0.08053824532736134,0.30050197867608586
downside,4,fours,bidder,left_setter,4-2,150,8.68342681090037,28.37303924560547,-7.199824597835541,0.08380373918703601,-0.12911296660701435,0.41842678571428554
