base_seed,decl_id,p0_count_points,n_counts_held,holds_3_2,holds_4_1,holds_5_0,holds_5_5,holds_6_4,V_opp0,V_opp1,V_opp2,V_mean,V_std,V_spread,V_min,V_max
131,1,15,2,False,False,True,True,False,-6,8.0,4.0,2.0,5.887840577551898,14,-6,8
132,2,20,3,False,True,True,False,True,40,-42.0,-18.0,-6.666666666666667,34.42221504913489,82,-42,40
133,3,10,1,False,False,False,False,True,20,42.0,-28.0,11.333333333333334,29.227080289043965,70,-28,42
134,4,15,2,False,True,False,False,True,42,42.0,42.0,42.0,0.0,0,42,42
135,5,0,0,False,False,False,False,False,-18,14.0,18.0,4.666666666666667,16.110727964792762,36,-18,18
136,6,25,3,True,False,False,True,True,4,4.0,18.0,8.666666666666666,6.599663291074444,14,4,18
137,7,10,1,False,False,False,True,False,36,36.0,38.0,36.666666666666664,0.9428090415820634,2,36,38
138,8,0,0,False,False,False,False,False,20,42.0,26.0,29.333333333333332,9.285592184789413,22,20,42
139,9,5,1,False,False,True,False,False,-14,42.0,18.0,15.333333333333334,22.939534045447004,56,-14,42
140,0,5,1,False,False,True,False,False,40,-2.0,42.0,26.666666666666668,20.28683207293725,44,-2,42
141,1,15,2,False,True,False,True,False,-8,18.0,40.0,16.666666666666668,19.618585292749547,48,-8,40
142,2,0,0,False,False,False,False,False,30,-10.0,-6.0,4.666666666666667,17.98765008430939,40,-10,30
143,3,20,3,True,True,False,False,True,30,18.0,4.0,17.333333333333332,10.624918300339486,26,4,30
144,4,15,2,False,True,False,True,False,-4,4.0,16.0,5.333333333333333,8.219218670625303,20,-4,16
145,5,0,0,False,False,False,False,False,-6,40.0,-30.0,1.3333333333333333,29.044027881055953,70,-30,40
146,6,15,2,False,False,True,True,False,14,2.0,38.0,18.0,14.966629547095765,36,2,38
147,7,10,1,False,False,False,False,True,10,28.0,-4.0,11.333333333333334,13.097921802925667,32,-4,28
148,8,0,0,False,False,False,False,False,-14,4.0,10.0,0.0,10.198039027185569,24,-14,10
149,9,10,1,False,False,False,False,True,42,42.0,42.0,42.0,0.0,0,42,42
150,0,5,1,True,False,False,False,False,28,18.0,42.0,29.333333333333332,9.843215373488935,24,18,42
151,1,5,1,True,False,False,False,False,-6,20.0,30.0,14.666666666666666,15.173075568988056,36,-6,30
152,2,10,2,True,False,True,False,False,42,-38.0,42.0,15.333333333333334,37.712361663282536,80,-38,42
153,3,15,2,False,True,False,False,True,38,40.0,-36.0,14.0,35.364765892999586,76,-36,40
154,4,10,1,False,False,False,True,False,8,4.0,14.0,8.666666666666666,4.109609335312651,10,4,14
155,5,0,0,False,False,False,False,False,4,42.0,-6.0,13.333333333333334,20.677416559027762,48,-6,42
156,6,15,2,True,False,False,True,False,4,-40.0,40.0,1.3333333333333333,32.71425105702746,80,-40,40
157,7,0,0,False,False,False,False,False,42,-4.0,20.0,19.333333333333332,18.785337071473826,46,-4,42
158,8,5,1,False,True,False,False,False,14,30.0,40.0,28.0,10.708252269472673,26,14,40
159,9,10,2,True,True,False,False,False,42,4.0,40.0,28.666666666666668,17.46106780494506,38,4,42
160,0,15,2,True,False,False,True,False,6,-8.0,16.0,4.666666666666667,9.843215373488935,24,-8,16
161,1,5,1,True,False,False,False,False,18,-8.0,4.0,4.666666666666667,10.624918300339486,26,-8,18
162,2,15,2,False,True,False,False,True,40,30.0,42.0,37.333333333333336,5.2493385826745405,12,30,42
163,3,5,1,True,False,False,False,False,20,20.0,42.0,27.333333333333332,10.370899457402697,22,20,42
164,4,5,1,False,True,False,False,False,-28,-16.0,-18.0,-20.666666666666668,5.2493385826745405,12,-28,-16
165,5,20,3,True,True,False,True,False,4,16.0,12.0,10.666666666666666,4.988876515698588,12,4,16
166,6,5,1,True,False,False,False,False,-2,4.0,8.0,3.3333333333333335,4.109609335312651,10,-2,8
167,7,15,2,True,False,False,True,False,40,18.0,22.0,26.666666666666668,9.568466729604882,22,18,40
168,8,5,1,True,False,False,False,False,-4,-18.0,6.0,-5.333333333333333,9.843215373488935,24,-18,6
169,9,10,1,False,False,False,True,False,42,36.0,28.0,35.333333333333336,5.734883511361751,14,28,42
170,0,15,2,False,False,True,True,False,24,40.0,20.0,28.0,8.640987597877148,20,20,40
171,1,5,1,False,False,True,False,False,28,40.0,42.0,36.666666666666664,6.182412330330469,14,28,42
172,2,0,0,False,False,False,False,False,40,16.0,42.0,32.666666666666664,11.8133634311129,26,16,42
173,3,5,1,True,False,False,False,False,42,-16.0,-8.0,6.0,25.664502073226878,58,-16,42
174,4,5,1,True,False,False,False,False,-38,-16.0,-18.0,-24.0,9.93310961716756,22,-38,-16
175,5,20,2,False,False,False,True,True,26,28.0,26.0,26.666666666666668,0.9428090415820634,2,26,28
176,6,5,1,True,False,False,False,False,-26,-28.0,18.0,-12.0,21.228911104120876,46,-28,18
177,7,0,0,False,False,False,False,False,16,40.0,-26.0,10.0,27.27636339397171,66,-26,40
178,8,5,1,False,True,False,False,False,18,-6.0,38.0,16.666666666666668,17.98765008430939,44,-6,38
179,9,15,2,False,True,False,False,True,8,16.0,-30.0,-2.0,20.06655592438988,46,-30,16
180,0,10,2,False,True,True,False,False,8,24.0,40.0,24.0,13.063945294843617,32,8,40
181,1,20,3,False,True,True,True,False,38,16.0,42.0,32.0,11.430952132988164,26,16,42
182,2,0,0,False,False,False,False,False,42,26.0,4.0,24.0,15.57776192739723,38,4,42
183,3,5,1,False,False,True,False,False,28,40.0,38.0,35.333333333333336,5.2493385826745405,12,28,40
184,4,25,3,False,False,True,True,True,24,20.0,26.0,23.333333333333332,2.494438257849294,6,20,26
185,5,0,0,False,False,False,False,False,-16,-4.0,38.0,6.0,23.15167380558045,54,-16,38
186,6,20,3,True,True,False,False,True,4,-8.0,38.0,11.333333333333334,19.48218559493661,46,-8,38
187,7,5,1,True,False,False,False,False,16,-8.0,-16.0,-2.6666666666666665,13.59738536958076,32,-16,16
188,8,0,0,False,False,False,False,False,-6,-8.0,-6.0,-6.666666666666667,0.9428090415820634,2,-8,-6
189,9,0,0,False,False,False,False,False,42,42.0,18.0,34.0,11.313708498984761,24,18,42
190,0,10,1,False,False,False,False,True,20,36.0,16.0,24.0,8.640987597877148,20,16,36
191,1,10,2,True,True,False,False,False,-4,42.0,42.0,26.666666666666668,21.684607956387456,46,-4,42
192,2,15,2,False,False,True,True,False,38,30.0,26.0,31.333333333333332,4.988876515698588,12,26,38
193,3,15,2,False,False,True,False,True,28,-2.0,10.0,12.0,12.328828005937952,30,-2,28
194,4,10,1,False,False,False,True,False,-8,8.0,28.0,9.333333333333334,14.727148022916348,36,-8,28
195,5,10,2,False,True,True,False,False,4,28.0,24.0,18.666666666666668,10.498677165349081,24,4,28
196,6,5,1,False,True,False,False,False,-14,4.0,16.0,2.0,12.328828005937952,30,-14,16
197,7,25,3,False,True,False,True,True,42,-30.0,-8.0,1.3333333333333333,30.12566274052001,72,-30,42
198,8,25,3,False,True,False,True,True,30,6.0,-6.0,10.0,14.966629547095765,36,-6,30
199,9,0,0,False,False,False,False,False,42,42.0,42.0,42.0,0.0,0,42,42
200,0,10,1,False,False,False,True,False,16,,,16.0,0.0,0,16,16
