base_seed,decl_id,trump_suit,V_mean,V_std,V_min,V_max,max_suit_length,n_doubles,trump_count,n_6_high,n_5_high,n_4_high,count_points,n_count_dominoes,total_pips,has_trump_double,pip_0_count,pip_1_count,pip_2_count,pip_3_count,pip_4_count,pip_5_count,pip_6_count
170,0,0,28.0,8.640987597877148,20.0,40.0,4,2,1,2,3,2,15,2,54,0,1,1,2,0,2,4,2
171,1,1,36.666666666666664,6.182412330330469,28.0,42.0,4,1,4,0,2,0,5,1,22,0,4,4,1,2,0,2,0
172,2,2,32.666666666666664,11.8133634311129,16.0,42.0,3,1,3,2,0,2,0,0,35,1,3,1,3,2,2,0,2
173,3,3,6.0,25.664502073226878,-16.0,42.0,3,2,3,2,1,0,5,1,46,0,1,1,3,3,0,2,2
174,4,4,-24.0,9.93310961716756,-38.0,-16.0,4,0,1,2,1,1,5,1,40,0,2,1,3,4,1,1,2
175,5,5,26.666666666666668,0.9428090415820634,26.0,28.0,3,3,1,2,1,2,20,2,49,1,2,0,2,1,3,1,2
176,6,6,-12.0,21.228911104120876,-28.0,18.0,3,1,2,2,2,0,5,1,43,0,2,1,2,2,1,3,2
177,7,7,10.0,27.27636339397171,-26.0,40.0,3,2,0,3,1,1,0,0,43,0,2,2,1,1,1,2,3
178,8,8,16.666666666666668,17.98765008430939,-6.0,38.0,3,1,0,2,1,2,5,1,41,0,2,2,1,1,3,2,2
179,9,9,-2.0,20.06655592438988,-30.0,16.0,4,1,0,3,1,2,15,2,47,0,2,1,1,0,4,2,3
180,0,0,24.0,13.063945294843617,8.0,40.0,2,2,2,1,2,1,10,2,37,0,2,2,2,2,1,2,1
181,1,1,32.0,11.430952132988164,16.0,42.0,3,2,3,1,3,2,20,3,41,1,2,3,0,1,2,3,1
182,2,2,24.0,15.57776192739723,4.0,42.0,4,0,3,4,0,1,0,0,42,0,2,2,3,2,1,0,4
183,3,3,35.333333333333336,5.2493385826745405,28.0,40.0,3,2,0,1,2,2,5,1,41,0,2,1,3,0,3,2,1
184,4,4,23.333333333333332,2.494438257849294,20.0,26.0,3,2,3,1,3,2,25,3,52,0,1,0,1,3,3,3,1
185,5,5,6.0,23.15167380558045,-16.0,38.0,3,1,2,2,2,1,0,0,36,0,3,3,1,0,2,2,2
186,6,6,11.333333333333334,19.48218559493661,-8.0,38.0,3,1,2,2,1,1,20,3,46,0,0,3,2,2,2,2,2
187,7,7,-2.6666666666666665,13.59738536958076,-16.0,16.0,3,1,0,1,1,1,5,1,30,0,3,3,1,3,1,1,1
188,8,8,-6.666666666666667,0.9428090415820634,-8.0,-6.0,4,0,0,1,1,2,0,0,34,0,4,1,2,2,3,1,1
189,9,9,34.0,11.313708498984761,18.0,42.0,4,2,0,1,1,3,0,0,45,0,1,1,1,3,4,1,1
190,0,0,24.0,8.640987597877148,16.0,36.0,3,1,2,3,2,1,10,1,49,0,2,1,2,0,3,2,3
191,1,1,26.666666666666668,21.684607956387456,-4.0,42.0,4,3,2,0,1,3,10,2,39,1,1,2,1,2,4,1,0
192,2,2,31.333333333333332,4.988876515698588,26.0,38.0,3,2,1,2,3,0,15,2,39,0,3,2,1,1,0,3,2
193,3,3,12.0,12.328828005937952,-2.0,28.0,3,1,2,1,2,1,15,2,35,0,3,2,1,2,2,2,1
194,4,4,9.333333333333334,14.727148022916348,-8.0,28.0,3,3,0,2,1,0,10,1,39,0,2,1,2,3,0,1,2
195,5,5,18.666666666666668,10.498677165349081,4.0,28.0,3,2,2,0,2,1,10,2,29,0,2,3,2,2,1,2,0
196,6,6,2.0,12.328828005937952,-14.0,16.0,3,0,3,3,0,2,5,1,40,0,2,2,3,2,2,0,3
197,7,7,1.3333333333333333,30.12566274052001,-30.0,42.0,3,1,0,3,1,2,25,3,50,0,1,2,1,2,3,1,3
198,8,8,10.0,14.966629547095765,-6.0,30.0,4,1,0,2,2,2,25,3,49,0,1,2,2,0,4,2,2
199,9,9,42.0,0.0,42.0,42.0,3,2,0,0,1,2,0,0,32,0,2,3,2,1,3,1,0
