base_seed,decl_id,hand_str,V_mean,V_std,V_min,V_max,V_spread,util_lambda_0,util_lambda_05,util_lambda_1,util_lambda_2,n_doubles,count_points,trump_count,has_trump_double,n_6_high,total_pips,rank_0,rank_05,rank_1,rank_2,rank_change_0_to_1
91,1,6-6 6-2 5-1 4-3 4-1 2-1 0-0,20.666666666666668,18.354533197248273,-4.0,40.0,44.0,20.666666666666668,11.489400068042531,2.312133469418395,-16.042399727829878,2,5,3,False,2,41,74.5,77.0,88.0,100.0,-13.5
136,6,6-4 6-0 5-5 4-2 3-2 3-1 1-1,8.666666666666666,6.599663291074444,4.0,18.0,14.0,8.666666666666666,5.366835021129444,2.067003375592222,-4.532659915482222,2,25,2,False,2,43,128.0,102.0,89.0,71.0,39.0
88,8,6-2 5-4 5-3 5-2 5-0 3-2 1-0,2.6666666666666665,0.9428090415820634,2.0,4.0,2.0,2.6666666666666665,2.1952621458756347,1.7238576250846032,0.7810485835025398,0,10,0,False,1,43,154.5,116.0,90.0,56.0,64.5
28,8,6-5 6-3 6-0 5-5 4-1 3-2 1-0,21.333333333333332,19.754043186705406,-6.0,40.0,46.0,21.333333333333332,11.45631173998063,1.579290146627926,-18.17475304007748,1,20,0,False,3,47,72.5,78.0,91.0,110.0,-18.5
101,1,6-4 6-3 6-2 5-5 4-0 3-2 0-0,18.0,16.97056274847714,-6.0,30.0,36.0,18.0,9.51471862576143,1.029437251522861,-15.941125496954278,2,25,0,False,3,46,82.0,84.5,92.5,98.5,-10.5
75,5,6-5 6-2 6-1 5-5 4-2 3-0 0-0,18.0,16.97056274847714,6.0,42.0,36.0,18.0,9.51471862576143,1.029437251522861,-15.941125496954278,2,10,2,True,3,45,82.0,84.5,92.5,98.5,-10.5
157,7,6-6 6-5 5-3 5-2 5-1 4-4 4-3,19.333333333333332,18.785337071473826,-4.0,42.0,46.0,19.333333333333332,9.940664797596419,0.547996261859506,-18.23734080961432,2,0,0,False,2,59,76.5,82.5,94.5,111.5,-18.0
42,2,6-6 6-0 5-3 5-1 4-0 3-0 2-2,19.333333333333332,18.785337071473826,-4.0,42.0,46.0,19.333333333333332,9.940664797596419,0.547996261859506,-18.23734080961432,2,0,1,True,2,43,76.5,82.5,94.5,111.5,-18.0
51,1,6-4 6-0 5-4 5-3 4-3 2-0 1-1,17.333333333333332,17.15290710702481,-4.0,38.0,42.0,17.333333333333332,8.756879779820927,0.18042622630852279,-16.972480880716287,1,10,1,True,2,44,86.0,87.0,96.0,107.0,-10.0
109,9,6-3 6-2 6-1 4-3 4-1 2-2 0-0,24.666666666666668,24.51303508113365,-10.0,42.0,52.0,24.666666666666668,12.410149126099842,0.1536315855330166,-24.359403495600635,2,5,0,False,3,40,60.5,75.0,97.0,122.0,-36.5
68,8,6-4 5-2 4-2 4-1 3-3 3-0 2-1,9.333333333333334,9.568466729604882,-4.0,18.0,22.0,9.333333333333334,4.549099968530893,-0.23513339627154828,-9.80360012587643,1,15,0,False,1,40,123.5,104.0,98.0,84.0,25.5
193,3,6-4 5-3 5-0 4-2 3-0 1-1 1-0,12.0,12.328828005937952,-2.0,28.0,30.0,12.0,5.835585997031024,-0.32882800593795203,-12.657656011875904,1,15,2,False,1,35,106.5,100.0,99.0,90.0,7.5
151,1,5-4 5-2 5-1 4-2 4-0 3-2 0-0,14.666666666666666,15.173075568988056,-6.0,30.0,36.0,14.666666666666666,7.080128882172638,-0.5064089023213896,-15.679484471309445,1,5,1,False,0,37,98.0,94.0,100.0,97.0,-2.0
166,6,6-6 6-2 6-0 5-1 4-2 3-2 2-1,3.3333333333333335,4.109609335312651,-2.0,8.0,10.0,3.3333333333333335,1.2785286656770078,-0.7762760019793178,-4.885885337291969,1,5,3,True,3,46,152.5,121.0,101.0,73.0,51.5
178,8,6-5 6-3 5-4 4-2 4-1 1-0 0-0,16.666666666666668,17.98765008430939,-6.0,38.0,44.0,16.666666666666668,7.672841624511973,-1.3209834176427222,-19.308633501952112,1,5,0,False,2,41,89.5,92.0,102.0,113.0,-12.5
147,7,6-4 6-3 6-1 5-3 3-1 1-1 0-0,11.333333333333334,13.097921802925667,-4.0,28.0,32.0,11.333333333333334,4.7843724318705005,-1.7645884695923328,-14.862510272518,2,10,0,False,3,40,112.0,103.0,103.0,95.0,9.0
113,3,6-5 6-3 5-1 4-0 2-2 2-0 1-0,11.333333333333334,14.079141387961917,-4.0,30.0,34.0,11.333333333333334,4.293762639352376,-2.745808054628583,-16.8249494425905,1,0,1,False,2,37,112.0,105.0,104.0,106.0,8.0
144,4,6-1 6-0 5-5 5-4 4-1 4-0 3-3,5.333333333333333,8.219218670625303,-4.0,16.0,20.0,5.333333333333333,1.2237239980206818,-2.8858853372919695,-11.105104007917273,2,15,3,False,2,47,142.5,122.0,105.0,88.0,37.5
141,1,6-6 6-2 5-5 4-3 4-2 4-1 1-0,16.666666666666668,19.618585292749547,-8.0,40.0,48.0,16.666666666666668,6.8573740202918945,-2.951918626082879,-22.570503918832426,2,15,2,False,2,49,89.5,95.0,106.0,118.0,-16.5
3,3,6-4 6-3 6-1 4-2 3-0 2-2 1-0,17.333333333333332,20.417857108151406,-8.0,42.0,50.0,17.333333333333332,7.124404779257629,-3.0845237748180736,-23.50238088296948,1,10,2,False,3,40,86.0,93.0,107.0,120.0,-21.0
131,1,6-2 5-5 5-4 5-0 3-0 2-1 1-0,2.0,5.887840577551898,-6.0,8.0,14.0,2.0,-0.9439202887759488,-3.8878405775518976,-9.775681155103795,1,15,2,False,1,39,156.5,132.0,108.0,83.0,48.5
