base_seed,decl_id,n_common_states,n_moves,n_robust,n_fragile,n_mixed,pct_robust,pct_fragile,mean_q_std,n_best_everywhere,best_robust,best_fragile,pct_best_robust,robust_by_depth
84,4,8427,7831,2007,2903,2921,25.628910739369175,37.07061677946623,8.306461474060228,4167,1232,1309,29.56563474922006,0.2943710810894116
85,5,10158,12928,2620,1822,8486,20.266089108910894,14.093440594059405,6.233721000229817,8314,1823,1138,21.926870339186912,0.2213058092289831
86,6,7877,10515,1243,2660,6612,11.821207798383263,25.297194484070374,7.5370163128857754,6355,734,1563,11.54996066089693,0.20892997834364496
87,7,5123,8718,3001,532,5185,34.42303280568938,6.1023170451938515,4.811177928758449,8210,2960,368,36.05359317904993,0.353238200920026
88,8,5588,9922,2187,2008,5727,22.041927030840554,20.237855271114693,6.580832853546513,8776,2069,1702,23.57566089334549,0.3635657609804485
89,9,7263,7751,2153,1605,3993,27.777061024383947,20.70700554767127,6.461826104770017,6099,1809,1141,29.660600098376783,0.3133954161382069
90,0,8887,10262,1353,2033,6876,13.184564412395245,19.810953030598323,7.090154283766155,6684,849,1334,12.70197486535009,0.18922246445205965
91,1,8698,11688,2334,2222,7132,19.969199178644764,19.01095140314853,6.646123077679986,7413,1906,827,25.711587751247805,0.25123126298888715
92,2,3262,3924,526,822,2576,13.404689092762487,20.948012232415902,7.110735708365042,2929,436,593,14.885626493683851,0.2742363761652196
93,3,7084,8978,1984,2720,4274,22.098462909333925,30.296279795054577,7.589986081982993,4571,1017,1308,22.24896084007876,0.20852577269862965
94,4,2877,3967,396,877,2694,9.982354423997982,22.10738593395513,7.46362629773467,2226,211,410,9.478885893980234,0.17985352543882266
95,5,7007,9725,2044,1216,6465,21.017994858611825,12.503856041131106,6.321396572360459,6468,1427,617,22.06246134817563,0.2859328677607901
96,6,20069,48868,27770,669,20429,56.82655316362446,1.368994024719653,3.362191234473801,42106,26759,198,63.55151284852515,0.5767569429513693
97,7,7333,13514,3742,1012,8760,27.689803167085987,7.488530412905135,5.2616935242967315,8448,2830,284,33.49905303030303,0.35229144462590056
98,8,2701,3209,289,1189,1731,9.00592084761608,37.05204113430975,8.82036185803297,2877,248,1089,8.62009037191519,0.23686003392966026
99,9,5507,5248,1610,1342,2296,30.678353658536583,25.571646341463417,6.837693388809957,3821,1368,851,35.802146035069356,0.26284952922366317
100,0,14824,17182,8272,610,8300,48.14340588988476,3.550226981725061,3.9145659015975274,12943,7325,161,56.59429807618017,0.4716964598027279
101,1,1454,1799,165,730,904,9.171762090050027,40.5780989438577,8.603503144927428,1316,99,509,7.522796352583587,0.2843078952075933
102,2,6819,7726,983,2674,4069,12.723272068340668,34.610406419880924,8.474469176216804,4799,644,1537,13.4194623879975,0.19914650830098218
103,3,7230,12053,3076,1261,7716,25.520617273707792,10.46212561188086,5.506947559406903,10726,2893,957,26.971844117098637,0.3891923315167931
104,4,7443,9745,2554,1672,5519,26.20831195484864,17.15751667521806,6.067728165684761,5400,1594,634,29.518518518518515,0.5538248999672557
105,5,8052,10779,3599,589,6591,33.38899712403748,5.4643287874570925,4.8840446087591785,7014,2382,338,33.9606501283148,0.4115328196104111
106,6,11495,15459,6802,3608,5049,44.00025874894883,23.339155184682063,6.017713430375041,10595,4941,2262,46.63520528551203,0.3829788820405183
107,7,2536,2756,977,76,1703,35.44992743105951,2.7576197387518144,4.468717958765126,1880,734,40,39.04255319148936,0.44617704567729577
108,8,4952,5545,1481,625,3439,26.70874661857529,11.27141568981064,5.6628680772422735,4462,1253,502,28.081577767817123,0.29044595490091984
109,9,6477,6714,2317,1114,3283,34.509979148048856,16.59219541257075,5.701795794931666,5545,2061,838,37.16862037871957,0.4324648828990593
110,0,5284,5195,557,1777,2861,10.7218479307026,34.20596727622714,8.527580255513186,3349,388,1126,11.585547924753657,0.1857677145573352
111,1,5875,8260,859,2341,5060,10.39951573849879,28.34140435835351,8.010391939191566,4168,480,1098,11.516314779270633,0.1535344073389194
112,2,623,684,181,57,446,26.46198830409357,8.333333333333332,5.2580067728932995,399,134,17,33.583959899749374,0.3240149094781683
113,3,5521,7005,799,2189,4017,11.406138472519629,31.249107780157033,8.365537992459886,4892,616,1335,12.59198691741619,0.24392235362315348
114,4,6747,6988,1681,964,4343,24.055523755008586,13.795077275329135,6.1550440028983395,3923,1030,464,26.255416772877897,0.2186410198221528
115,5,10470,18183,3938,568,13677,21.657592256503328,3.1237969531980423,5.109261749698156,15035,3691,380,24.54938476887263,0.43019828487726003
116,6,19108,24667,7629,7202,9836,30.927960432967122,29.196902744557505,6.9920467237697785,10500,4251,2153,40.48571428571429,0.3966854658950723
117,7,6093,6716,2556,526,3634,38.05836807623585,7.832042882668255,4.717795612259784,3999,1858,187,46.46161540385096,0.26841653039571034
118,8,5740,7921,1723,1897,4301,21.752304002019947,23.948996338846104,7.104738568110006,5670,1482,1206,26.137566137566136,0.2727521592349467
119,9,4736,5872,1528,777,3567,26.021798365122617,13.232288828337873,6.033563748751119,4881,1266,588,25.937307928703135,0.42981921401576123
120,0,5105,6535,1655,932,3948,25.325172149961745,14.261667941851568,6.059938671341314,5524,1576,491,28.530050687907316,0.294696169821596
121,1,8262,10601,1828,3029,5744,17.243656258843508,28.572776153193097,7.756616457897915,6684,1080,1942,16.15798922800718,0.18892088627355028
122,2,10737,13071,1612,3389,8070,12.332644786167853,25.927626042383906,7.797031277529965,9588,1163,2493,12.129745515227368,0.18180632516287795
123,3,2526,3227,1376,237,1614,42.640223117446546,7.344282615432291,4.4381501632546545,2199,988,169,44.92951341518872,0.5353721937886377
124,4,4024,4279,952,828,2499,22.248188829165695,19.350315494274366,6.696674142249017,3048,685,589,22.473753280839894,0.38386937861666365
125,5,9866,13514,6006,189,7319,44.442800059197864,1.3985496522125205,4.011003364516375,8636,4425,48,51.238999536822604,0.5302758200502244
126,6,8653,13921,3579,1940,8402,25.709359959773003,13.935780475540549,5.929620673439441,12109,3065,1752,25.31175158972665,0.26819855654957125
127,7,1470,2267,615,394,1258,27.128363475959418,17.37979708866343,6.058546040868122,1339,364,268,27.184466019417474,0.37065132379016924
128,8,6049,7959,2748,984,4227,34.52695062193743,12.36336223143611,5.5037116412333695,6003,2131,673,35.498917208062636,0.4522315340983494
129,9,8111,8687,2076,1864,4747,23.89777828939795,21.457350063312997,6.776397710687094,7017,1723,1411,24.554652985606385,0.2876494594875061
130,0,7150,8861,1350,2515,4996,15.235300756122333,28.382801038257533,7.6773537039940205,6423,923,1937,14.370231978826093,0.1775772814746529
131,1,1146,1461,340,375,746,23.27173169062286,25.667351129363446,7.42309615638317,1077,170,361,15.784586815227483,0.2457340885350342
132,2,7978,11412,2487,3585,5340,21.79284963196635,31.414300736067297,8.206305167750532,6615,1299,2212,19.63718820861678,0.4071106244671619
133,3,4260,5495,1125,1331,3039,20.473157415832574,24.22202001819836,7.025658427263311,3741,808,767,21.598503074044373,0.2925201346952265
134,4,7060,13745,4524,80,9141,32.91378683157512,0.5820298290287377,4.458660092676871,13745,4524,80,32.91378683157512,0.5090353135602036
135,5,8555,12949,2389,2449,8111,18.44930110433238,18.912657348057767,6.7682381704584,5537,1185,753,21.401480946360845,0.2655935505499991
136,6,12212,17762,9535,2695,5532,53.682017790789324,15.172840896295462,4.611191990391903,10934,6437,1234,58.87141027986098,0.49790006061442693
137,7,3965,4655,1370,260,3025,29.430719656283564,5.5853920515574655,4.889465043542299,3478,1147,100,32.97872340425532,0.4138282108653924
138,8,8939,11103,1650,2667,6786,14.860848419346123,24.020534990543098,7.425684264692293,9430,1315,2319,13.944856839872747,0.24998122025298902
139,9,9694,12821,2216,2371,8234,17.2841432025583,18.49309726230403,6.658604106594654,9552,1882,1476,19.702680067001673,0.20288816563790274
140,0,3222,3761,632,999,2130,16.80404147833023,26.56208455198086,7.562578448745702,3201,580,750,18.119337706966572,0.21127042040326727
141,1,6527,9076,1919,1052,6105,21.14367562802997,11.591009255178493,5.897583993305228,5812,1491,543,25.653819683413627,0.20756602747358946
142,2,2590,3298,154,1394,1750,4.66949666464524,42.2680412371134,9.606155245006313,2296,144,734,6.2717770034843205,0.22848211061876464
143,3,3862,4028,1814,809,1405,45.03475670307845,20.084409136047665,5.439955174481131,2861,1330,542,46.48724222299895,0.5739840503026299
144,4,5496,7498,3234,1053,3211,43.13150173379568,14.04374499866631,5.258305845440121,4519,2186,671,48.37353396769197,0.41433419984155273
145,5,10485,13270,1859,3926,7485,14.009042954031651,29.58553127354936,7.799608389302158,8314,1512,1847,18.186191965359637,0.19925011323409422
146,6,11156,17781,3478,5976,8327,19.560204712895786,33.60890838535515,8.084976099974831,8879,2211,2313,24.901452866313775,0.3087677252313641
147,7,5728,7152,2723,605,3824,38.07326621923937,8.459172259507831,4.843749862751008,4239,1888,250,44.53880632224581,0.3857441769533947
148,8,12487,11723,1516,3118,7089,12.931843384799112,26.597287383775488,7.689225167762034,8414,1016,2251,12.075112907059662,0.1859319045637588
149,9,8071,10878,1883,2912,6083,17.31016731016731,26.76962676962677,7.541249826862695,7972,1481,2001,18.577521324636226,0.23384435810512882
