base_seed,decl_id,V_mean,total_locked,total_lock_rate,lock_rate_3-2,locked_3-2,lock_rate_4-1,locked_4-1,lock_rate_5-0,locked_5-0,lock_rate_5-5,locked_5-5,lock_rate_6-4,locked_6-4,n_doubles,trump_count,n_6_high,n_5_high,count_points,n_count_dominoes,total_pips,has_trump_double,max_suit_length,suit_5_length,suit_6_length,suit_4_length,suit_3_length,holds_3-2,holds_4-1,holds_5-0,holds_5-5,holds_6-4
94,4,-0.6666666666666666,0,0.06666666666666667,0.0,0,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,2,1,1,2,0,0,38,0,4,2,1,1,1,0,0,0,0,0
95,5,-10.0,0,0.06666666666666667,0.0,0,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,2,1,2,1,0,0,49,0,4,1,2,4,1,0,0,0,0,0
96,6,34.666666666666664,1,0.3333333333333333,0.0,0,0.3333333333333333,0,0.3333333333333333,0,1.0,1,0.0,0,3,4,4,2,10,1,58,1,4,2,4,0,2,0,0,0,1,0
97,7,38.666666666666664,2,0.5333333333333333,0.6666666666666666,0,0.0,0,1.0,1,1.0,1,0.0,0,4,0,1,3,15,2,44,0,3,3,1,0,1,0,0,1,1,0
98,8,7.333333333333333,0,0.26666666666666666,0.6666666666666666,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.0,0,0,0,3,0,5,1,40,0,4,1,3,0,2,1,0,0,0,0
99,9,9.333333333333334,0,0.6,0.6666666666666666,0,0.6666666666666666,0,0.6666666666666666,0,0.6666666666666666,0,0.3333333333333333,0,2,0,0,3,20,3,36,0,3,3,0,2,2,0,1,1,1,0
100,0,22.666666666666668,3,0.6666666666666667,1.0,1,0.0,0,1.0,1,0.3333333333333333,0,1.0,1,0,4,2,2,20,3,39,0,4,2,2,2,2,1,0,1,0,1
101,1,18.0,0,0.4,0.6666666666666666,0,0.0,0,0.0,0,0.6666666666666666,0,0.6666666666666666,0,2,0,3,1,25,3,46,0,3,1,3,2,2,1,0,0,1,1
102,2,32.666666666666664,2,0.5333333333333333,0.6666666666666666,0,0.0,0,1.0,1,1.0,1,0.0,0,4,1,1,2,15,2,41,0,4,2,1,2,0,0,0,1,1,0
103,3,34.666666666666664,1,0.3333333333333333,1.0,1,0.0,0,0.0,0,0.3333333333333333,0,0.3333333333333333,0,1,4,1,2,5,1,43,0,4,2,1,1,4,1,0,0,0,0
104,4,22.0,2,0.4666666666666666,1.0,1,0.0,0,0.0,0,0.3333333333333333,0,1.0,1,2,2,3,0,15,2,48,0,3,1,3,2,3,1,0,0,0,1
105,5,18.0,2,0.4666666666666667,1.0,1,0.0,0,0.0,0,1.0,1,0.3333333333333333,0,2,1,2,1,15,2,47,1,3,1,2,1,3,1,0,0,1,0
106,6,4.0,0,0.4,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.6666666666666666,0,0.6666666666666666,0,2,2,2,3,20,2,53,0,3,3,2,3,1,0,0,0,1,1
107,7,36.666666666666664,1,0.26666666666666666,0.3333333333333333,0,0.0,0,0.0,0,1.0,1,0.0,0,3,0,1,2,10,1,41,0,2,2,1,1,1,0,0,0,1,0
108,8,29.333333333333332,0,0.4666666666666666,0.6666666666666666,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0,2,0,3,2,0,0,53,0,3,3,3,1,3,0,0,0,0,0
109,9,24.666666666666668,0,0.26666666666666666,0.3333333333333333,0,0.6666666666666666,0,0.0,0,0.3333333333333333,0,0.0,0,2,0,3,0,5,1,40,0,3,0,3,2,2,0,1,0,0,0
110,0,20.666666666666668,0,0.39999999999999997,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,3,2,1,0,0,0,33,0,3,0,1,1,2,0,0,0,0,0
