base_seed,v_mean_d28,v_std_d28,v_spread_d28,v_mean_d24,v_std_d24,v_spread_d24,v_mean_d20,v_std_d20,v_spread_d20,v_mean_d16,v_std_d16,v_spread_d16,v_mean_d12,v_std_d12,v_spread_d12,v_mean_d8,v_std_d8,v_spread_d8,v_mean_d4,v_std_d4,v_spread_d4,v_mean_d1,v_std_d1,v_spread_d1
30,28.666666666666668,0.0,38.0,13.445445445445445,13.08066443298589,33.55855855855856,13.601046121098918,12.565493540839293,23.184274770201526,12.717482512670324,11.84226319988118,15.740847858790545,10.67262841688059,11.359417785760982,8.276913060539924,7.358248301452896,10.3412193878719,3.6748526768266956,2.6068002903138825,8.201781634304071,1.4844320998878684,2.6068002903138825,8.201781634304071,1.4844320998878684
31,-3.3333333333333335,0.0,82.0,-8.064402464560644,8.11498129309711,61.433004926108374,-6.940356803462582,10.363583221674135,51.81591684181946,-2.63337142915127,11.626355050975844,40.98783698592036,-0.18563933912529862,10.90270081768391,30.33530266533554,0.065253763901102,9.268611422824774,19.629087295313678,-0.3413956008884189,7.042226827918236,7.865756648991908,-0.3413956008884189,7.042226827918236,7.865756648991908
32,-7.333333333333333,0.0,70.0,-15.785543608124252,11.540394073300108,52.469534050179206,-12.301257919324328,11.775061524157032,47.50723656489756,-8.63574108742939,12.037805063934238,37.068915849084135,-7.116667600073949,11.514791555972343,26.1505296667364,-5.07676665496389,10.27754613361005,14.149215555505485,-1.8204278269374943,7.855996559717354,4.353099286373308,-1.8204278269374943,7.8559965597173536,4.353099286373308
33,24.0,0.0,30.0,10.860338456948435,12.277755993667398,45.33877825016782,2.4087330614351887,14.161859554149439,32.21678860653141,3.153091792266339,13.612943313779331,22.60811515131607,2.4043041708085084,12.120715308730373,14.958940820305804,1.2767489027045602,11.047636965661624,9.014517269454462,0.41197680091266803,8.223223984428929,3.537355750690893,0.41197680091266803,8.223223984428929,3.537355750690893
34,33.333333333333336,0.0,24.0,19.046530196257965,12.991584993872861,31.90820130475303,8.8411643562396,12.9771493137343,28.573168398319837,6.8383326655808245,13.179721939242839,20.242440496517254,5.623988495275548,12.424461202262728,13.740067170909091,3.2767526348898,11.143468793317583,7.1476056177174465,0.7276309931576389,7.907502652756254,2.1044674218632027,0.7276309931576389,7.907502652756254,2.1044674218632027
35,8.0,0.0,46.0,-11.542348484848484,10.736656185766622,45.5475,-8.987616346504367,12.55406357969005,35.69354921606302,-6.849730090519858,12.729008375708993,29.884428200418895,-5.9612706412271335,11.243720948987667,22.632916000037685,-4.546777651354051,9.679421532746234,14.440234106520624,-1.8538733736020865,7.370743152578966,5.670257226521002,-1.8538733736020865,7.370743152578966,5.670257226521002
36,-8.666666666666666,0.0,58.0,-11.680814714170692,9.414109028462184,35.557729468599035,-10.94713532579469,11.877697380869522,32.012728764905425,-8.141010165236944,11.991392629056639,24.19548896428214,-5.097649190951145,11.387791060687514,19.1350224128547,-2.7391867119336886,10.27906558118912,12.36059271825049,-0.8493392670162886,7.701628327863987,4.421594589978593,-0.8493392670162886,7.701628327863987,4.421594589978593
37,-1.3333333333333333,0.0,10.0,-11.65953974404133,9.030132611516832,27.123529411764707,-9.022431566161183,12.355053622257197,24.124428901649875,-5.58203844691469,12.557609316137151,18.47362514068736,-3.2021375483418297,11.876048556679086,15.820821183647702,-1.9660486651433235,10.935233015795376,13.323717273440629,-0.9625089230578272,8.133315462522509,5.966474781317542,-0.9625089230578272,8.133315462522509,5.966474781317542
38,-20.666666666666668,0.0,46.0,-21.638321995464853,9.250235066349012,36.84829931972789,-15.475659091992966,12.63617248359516,27.881491338739714,-11.157045477611684,12.71486795954751,20.653343772455994,-6.379859018138764,12.155868643938392,13.882478626176733,-2.682663559298558,10.37018509669,7.300498626571083,-0.5206482568530243,7.7922539642681246,1.9529331199297135,-0.5206482568530243,7.7922539642681246,1.9529331199297135
39,33.333333333333336,0.0,26.0,25.159739605061883,10.55775913977107,26.92769607843137,17.598227484388314,14.308833861201292,17.822525196398644,10.775725727799559,14.139300964174685,11.58113720788102,5.97815587088171,13.052359643796914,9.889446762801905,2.920827076791681,11.07404292132528,5.559692191595817,0.5977060534796437,7.981082292891974,1.875032201578254,0.5977060534796437,7.981082292891974,1.875032201578254
40,-23.333333333333332,0.0,48.0,-24.6756120527307,11.457030387953468,23.87683615819209,-19.038163121316078,11.209579773352884,22.187540406370417,-12.254198619601901,11.739161160299977,21.656735355066775,-7.171627546763822,11.27368783672531,17.53022074740296,-3.314578579468544,10.24599566577521,11.377025327834648,-0.9593820776839813,7.810635880443281,3.8669895410118933,-0.9593820776839813,7.810635880443281,3.8669895410118933
41,-20.666666666666668,0.0,44.0,-21.376021553073787,8.083564543651446,29.108129370629367,-19.686589952010213,11.009501184705462,16.80768083718724,-17.841690593776754,10.379418103557333,10.23086548519242,-14.094757288162036,9.352487569773132,6.210862911923769,-9.032263323634218,8.459232289299829,4.238021562057548,-3.1629161640105248,7.350092717751718,2.227516514121023,-3.1629161640105248,7.350092717751718,2.227516514121023
42,19.333333333333332,0.0,46.0,7.92196524936251,11.192786866059086,44.613947696139476,5.995657483790059,12.250962959452528,33.92563884343634,6.102258678241969,11.997347279472216,22.50493137510047,5.151656466279223,11.565124195963493,14.584165212146255,3.2525562933149907,10.531068061373087,8.525317939826982,1.2496261188484918,7.871727815055053,2.4049368678803362,1.2496261188484918,7.871727815055053,2.4049368678803362
43,7.333333333333333,0.0,58.0,-4.586549707602338,17.948977446722605,17.696491228070176,-4.847859484131089,16.1284068038226,17.283148499584133,-3.4677579356117065,14.236168169999075,12.554643445822006,-2.479053746909829,12.383326108044033,8.396947779242241,-1.4532893605536756,10.90057658058887,3.7563476418746635,-0.326576334108785,8.135174702338174,0.4311368319607759,-0.326576334108785,8.135174702338174,0.4311368319607759
44,31.333333333333332,0.0,32.0,26.194063008631144,7.2572876746000246,28.058572682804463,20.121852090578226,11.35968646905067,16.288279715253857,17.330938408969036,11.262374170351336,12.416309767569789,14.946523015777814,10.15849833071479,7.612044520676712,10.446142396083152,8.939117219242318,4.317847706757405,4.66315418481298,6.925114023710708,1.453577443072808,4.66315418481298,6.925114023710708,1.453577443072808
45,8.666666666666666,0.0,62.0,-3.968184563463834,12.328742841203765,43.926610751048415,-5.678750011292899,13.19890467846047,33.085159935658695,-4.010972475180121,12.490812768330565,29.39565095790921,-3.3785196441624876,11.316911067209789,23.379431617454962,-2.2456890119750956,10.127068745994146,15.119303491148699,-0.8417206262337823,7.718485925152831,5.378645557904195,-0.8417206262337823,7.718485925152831,5.378645557904195
46,8.666666666666666,0.0,12.0,-11.137110681518303,14.04085316113133,38.38366013071895,-12.838245259102173,12.131844223894594,37.77687476738523,-10.076949100885825,12.080774061704508,31.686043122111435,-7.061351638721163,12.314207241967145,21.543814575532984,-4.40600246140501,10.967866509738336,12.090078546806449,-1.6636757071378716,7.733488047362802,4.837501132633756,-1.6636757071378716,7.733488047362802,4.837501132633756
47,25.333333333333332,0.0,44.0,10.86246708272841,14.048954921396353,46.19640062597809,3.8708503094019746,12.992966433685764,30.75402239568666,1.318273191387726,11.973242226816227,27.35622418156503,-0.532668063413165,11.147489265730377,20.037651650596104,-1.2437684439664771,10.001125478078244,12.89632045886949,-0.43833658963398897,7.678053352424008,5.216506932602009,-0.43833658963398897,7.678053352424008,5.216506932602009
48,8.0,0.0,30.0,2.5764112620815243,10.908581629232422,30.904375029182425,2.7738760094507877,14.212843464908486,23.815069907030523,2.2158053676616496,15.18246930100758,21.445541389899997,1.2939259475012885,14.423660542460587,12.509880109384895,0.5131154691916752,12.24207678315812,5.795071455386106,0.052720975437293593,8.317719496189028,1.4083932510132413,0.052720975437293593,8.317719496189028,1.4083932510132413
49,26.666666666666668,0.0,46.0,3.801619473883569,23.105408517670625,34.27220843672457,-2.1154728892334007,19.086720845216032,30.096183398646357,-1.8454392923377918,16.42080070865533,20.85147538815408,-1.2743339616470264,13.786026944734175,12.74386582839248,-0.6564243726931153,11.15894061957332,6.460188638112491,-0.13015523533616358,7.9248892028423015,1.4736229530398983,-0.13015523533616358,7.9248892028423015,1.4736229530398983
