game_idx,seed,decl_id,decl_name,decision_idx,actor,seat_role,team,action_slot,action_domino_id,action_domino,hidden_domino_id,hidden_domino,relative_holder,absolute_holder,absolute_holder_role,world_count,conditioned_world_count,conditioned_mass,baseline_mean_q,conditioned_mean_q,mean_q_delta,baseline_tail_low_mass,conditioned_tail_low_mass,tail_low_mass_delta,baseline_shelf_high_mass,conditioned_shelf_high_mass,shelf_high_mass_delta,baseline_std,conditioned_std,std_delta,impact_score,downside_score,upside_score
0,9420,0,blanks,0,0,bidder,offense,5,19,5-4,20,5-5,1,2,bidder_partner,1000,347,0.347,0.6950575113296509,21.163938522338867,20.468881011009216,0.2630000114440918,0.005763688590377569,-0.2572363228537142,0.26600000262260437,0.5850144028663635,0.31901440024375916,23.09366798400879,18.1678466796875,-4.925821304321289,26.23138824198395,0.0,24.94520662771538
0,9420,0,blanks,0,0,bidder,offense,5,19,5-4,20,5-5,2,3,right_setter,1000,313,0.313,0.6950575113296509,-11.901792526245117,-12.596850037574768,0.2630000114440918,0.402555912733078,0.1395559012889862,0.26600000262260437,0.0702875405550003,-0.19571246206760406,23.09366798400879,15.716102600097656,-7.377565383911133,15.94953367114067,14.97097136080265,0.0
0,9420,0,blanks,0,0,bidder,offense,5,19,5-4,20,5-5,0,1,left_setter,1000,302,0.302,0.6950575113296509,-10.722794532775879,-11.41785204410553,0.2630000114440918,0.4370861053466797,0.1740860939025879,0.26600000262260437,0.09271523356437683,-0.17328476905822754,23.09366798400879,17.190092086791992,-5.903575897216797,14.891560673713684,14.025136828422546,0.0
0,9420,0,blanks,0,0,bidder,offense,5,19,5-4,21,6-0,1,2,bidder_partner,1000,312,0.312,0.6950575113296509,9.724849700927734,9.029792189598083,0.2630000114440918,0.09615384787321091,-0.1668461635708809,0.26600000262260437,0.38141027092933655,0.11541026830673218,23.09366798400879,22.558765411376953,-0.5349025726318359,11.852356508374214,0.0,11.01812569051981
0,9420,0,blanks,0,0,bidder,offense,5,19,5-4,10,4-0,1,2,bidder_partner,1000,339,0.339,0.6950575113296509,6.965209007263184,6.270151495933533,0.2630000114440918,0.16814158856868744,-0.09485842287540436,0.26600000262260437,0.3598819971084595,0.0938819944858551,23.09366798400879,23.08046531677246,-0.013202667236328125,8.157555669546127,0.0,7.6832635551691055
0,9420,0,blanks,0,0,bidder,offense,5,19,5-4,24,6-3,1,2,bidder_partner,1000,301,0.301,0.6950575113296509,-5.279366493225098,-5.9744240045547485,0.2630000114440918,0.37873753905296326,0.11573752760887146,0.26600000262260437,0.19269102811813354,-0.07330897450447083,23.09366798400879,22.173954010009766,-0.9197139739990234,7.864889025688171,7.498344153165817,0.0
0,9420,0,blanks,0,0,bidder,offense,5,19,5-4,21,6-0,0,1,left_setter,1000,348,0.348,0.6950575113296509,-4.851957321166992,-5.547014832496643,0.2630000114440918,0.38218390941619873,0.11918389797210693,0.26600000262260437,0.2068965584039688,-0.05910344421863556,23.09366798400879,22.921594619750977,-0.1720733642578125,7.329888254404068,7.03437103331089,0.0
0,9420,0,blanks,0,0,bidder,offense,5,19,5-4,13,4-3,1,2,bidder_partner,1000,322,0.322,0.6950575113296509,-4.588688850402832,-5.283746361732483,0.2630000114440918,0.35403725504875183,0.09103724360466003,0.26600000262260437,0.17391304671764374,-0.09208695590496063,23.09366798400879,21.34015655517578,-1.7535114288330078,7.11498835682869,6.654553577303886,0.0
0,9420,0,blanks,0,0,bidder,offense,6,25,6-4,27,6-6,1,2,bidder_partner,1000,326,0.326,2.753075361251831,16.152305603027344,13.399230241775513,0.19300000369548798,0.11349692940711975,-0.07950307428836823,0.28600001335144043,0.5613496899604797,0.2753496766090393,21.85765266418457,21.602731704711914,-0.25492095947265625,16.947757750749588,0.0,16.550242379307747
0,9420,0,blanks,0,0,bidder,offense,6,25,6-4,20,5-5,1,2,bidder_partner,1000,347,0.347,2.753075361251831,12.674349784851074,9.921274423599243,0.19300000369548798,0.020172910764813423,-0.17282709293067455,0.28600001335144043,0.39769452810287476,0.11169451475143433,21.85765266418457,18.79840087890625,-3.0592517852783203,12.766490500420332,0.0,11.90235503576696
