game_idx,seed,decl_id,decl_name,bid_value,decision_idx,trick_idx,trick_position,actor,seat_role,team,offense_score_before,defense_score_before,actual_action_domino,legal_action_count,top_mean_domino,top_mean,top_threshold_domino,top_threshold_mass,safest_tail_domino,safest_lower_tail_mass,actual_mean_rank_desc,actual_threshold_rank_desc,actual_lower_tail_rank_asc,decision_scalar_ev_lying_by_omission,decision_multi_peak_action_count,decision_max_std,decision_max_shelf_gap,decision_max_hidden_impact,decision_max_hidden_downside,decision_max_hidden_upside,strategy_context_tags,matched_position_detectors,distribution_shape_tags
2,840702,6,sixes,84,18,4,2,3,right_setter,defense,28,1,2-2,3,2-2,-7.244555950164795,2-2,1.0,2-0,0.27734375,1,1,3,True,3,13.772170066833496,37,12.693132638931274,10.03023886680603,11.208757638931274,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
2,840702,6,sixes,84,19,4,3,0,bidder,offense,28,1,6-3,3,6-3,18.666109085083008,6-3,0.0,6-3,0.0,1,1,1,False,0,0.13780005276203156,0,0.13982915878295898,0.10692882537841797,0.13982915878295898,called_suit_pressure|last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,
2,840702,6,sixes,84,20,5,0,0,bidder,offense,29,1,5-5,2,5-5,17.059391021728516,5-5,0.0,5-5,0.0,1,1,1,False,0,0.22165395319461823,0,0.131500244140625,0.1193084716796875,0.131500244140625,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,high_variance_close_mean
2,840702,6,sixes,84,21,5,1,1,left_setter,defense,29,1,5-3,2,5-3,-11.632036209106445,5-3,1.0,5-3,0.0,1,1,1,False,2,5.107991695404053,12,6.010869979858398,6.010869979858398,5.8308491706848145,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,hidden_threat_large_impact|high_variance_close_mean|multi_peak_pdf
2,840702,6,sixes,84,22,5,2,2,bidder_partner,offense,29,1,5-1,1,5-1,16.87546157836914,5-1,0.0,5-1,0.0,1,1,1,False,1,2.549267530441284,10,2.517606735229492,2.517606735229492,0.8510208129882812,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,multi_peak_pdf
2,840702,6,sixes,84,23,5,3,3,right_setter,defense,29,1,1-0,2,1-0,-15.722288131713867,2-0,1.0,2-0,0.0,1,2,2,True,2,3.9604389667510986,11,3.9481945037841797,1.9369583129882812,3.9481945037841797,last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission
2,840702,6,sixes,84,24,6,0,0,bidder,offense,40,1,3-3,1,3-3,2.423698663711548,3-3,0.0,3-3,0.0,1,1,1,False,1,0.8002585768699646,2,1.2651629447937012,1.0405904054641724,1.2651629447937012,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,multi_peak_pdf
2,840702,6,sixes,84,25,6,1,1,left_setter,defense,40,1,5-2,1,5-2,-6.057275295257568,5-2,1.0,5-2,0.0,1,1,1,False,0,0.33672934770584106,0,0.35014963150024414,0.3238239288330078,0.35014963150024414,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,
2,840702,6,sixes,84,26,6,2,2,bidder_partner,offense,40,1,3-1,1,3-1,5.700163841247559,3-1,0.0,3-1,0.0,1,1,1,False,0,9.5367431640625e-07,0,0.0,0.0,0.0,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,
2,840702,6,sixes,84,27,6,3,3,right_setter,defense,40,1,2-0,1,2-0,-6.427841663360596,2-0,1.0,2-0,0.0,1,1,1,False,0,9.5367431640625e-07,0,0.0,0.0,0.0,last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,
3,840703,6,sixes,84,0,0,0,0,bidder,offense,0,0,6-5,7,6-5,39.348060607910156,6-6,0.0,6-6,0.0,1,2,2,True,6,16.44600486755371,42,8.938251495361328,8.899188995361328,7.896808624267578,bidder_opening_lead|called_suit_pressure|first_trick,bidder_first_lead_plan,hidden_threat_large_impact|high_std|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
3,840703,6,sixes,84,1,0,1,1,left_setter,defense,0,0,6-2,4,6-0,1.7308825254440308,6-3,1.0,6-1,0.33203125,2,2,4,True,4,26.487329483032227,70,30.472168445587158,24.150453329086304,28.792480945587158,called_suit_pressure|first_setter_response|first_trick,first_setter_pounce_window,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
3,840703,6,sixes,84,2,0,2,2,bidder_partner,offense,0,0,5-0,7,3-2,-2.8677713871002197,5-1,0.0,3-2,0.35546875,2,2,2,True,7,30.63671112060547,83,36.13871955871582,25.266401171684265,33.99028205871582,first_trick|partner_count_donation|partner_third_seat_support,partner_forcedness_and_safety|partner_third_seat_safe_donation,hidden_threat_large_impact|high_std|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
3,840703,6,sixes,84,3,0,3,3,right_setter,defense,0,0,3-0,7,3-0,-22.60997772216797,3-0,0.78125,3-0,0.65625,1,1,1,True,7,16.66972541809082,39,14.555889427661896,11.136662721633911,13.610307484865189,defender_last_to_act_closure|first_trick|last_to_act,last_to_act_closure_policy,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
3,840703,6,sixes,84,4,1,0,0,bidder,offense,6,0,6-6,6,6-6,23.121408462524414,6-6,0.0,6-6,0.0,1,1,1,False,6,17.284332275390625,49,17.708603382110596,17.708603382110596,14.932653427124023,called_suit_pressure,first_trick_public_belief_update,hidden_threat_large_impact|high_std|high_variance_close_mean|multi_peak_pdf|wide_shelf_gap
3,840703,6,sixes,84,5,1,1,1,left_setter,defense,6,0,6-0,3,6-0,-26.811140060424805,6-3,1.0,6-0,0.8359375,1,3,1,True,3,10.108327865600586,21,10.410882949829102,6.216359496116638,8.672601699829102,called_suit_pressure,first_trick_public_belief_update,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
3,840703,6,sixes,84,6,1,2,2,bidder_partner,offense,6,0,3-2,6,3-2,3.2996222972869873,5-1,0.0,3-2,0.171875,1,5,1,True,6,25.03081703186035,81,26.40901279449463,22.694411277770996,24.67073154449463,partner_count_donation,first_trick_public_belief_update|partner_forcedness_and_safety,hidden_threat_large_impact|high_std|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
3,840703,6,sixes,84,7,1,3,3,right_setter,defense,6,0,0-0,6,0-0,-21.48645782470703,2-2,0.66796875,1-0,0.52734375,1,6,2,True,6,20.503032684326172,54,25.952998593449593,18.59658631682396,23.747199036180973,last_to_act,first_trick_public_belief_update|last_to_act_closure_policy,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
3,840703,6,sixes,84,8,2,0,0,bidder,offense,12,0,5-5,5,5-5,20.848567962646484,6-4,0.0,6-4,0.0,1,2,2,True,5,14.621367454528809,44,13.914071083068848,13.914071083068848,9.270392417907715,called_suit_pressure,first_trick_public_belief_update,hidden_threat_large_impact|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
