game_id,game_idx,trump_id,trump_name,move_idx,player,active_player,team,global_domino_idx,domino,mean,std,threshold_mass,make_mass,set_mass,lower_tail_mass,q10,q25,q50,q75,q90,iqr,cvar_low_10,branch_entropy,branch_peak_count,branch_peak_bins,shelf_gap,samples,converged,high_variance_close_mean,scalar_ev_lying_by_omission
sample_000_decl_0,0,0,blanks,4,1,1,defense,12,6-2,-2.0098717212677,27.441105703425336,0.6340000033378601,,0.6340000268537551,0.3660000280942768,-37,-26,-6,23,41,49,-39.270000183489174,6.135662682832936,6,-41|-37|-35|-20|-15|41,82,1000,,False,False
sample_000_decl_0,0,0,blanks,4,1,1,defense,13,6-4,-0.3841632604598999,27.7895984099295,0.6450000405311584,,0.6450000177137554,0.3550000265240669,-36,-25,-5,27,41,52,-38.27000016719103,6.079210061773347,6,-40|-36|-33|-19|-9|41,81,1000,,True,True
sample_000_decl_0,0,0,blanks,5,2,2,offense,19,6-3,-10.67357063293457,27.36547351362662,0.18999998271465302,0.18999998888466507,,0.4710000087507069,-42,-40,-16,9,35,49,-42.0,5.467788678600683,5,-42|-19|-7|18|41,83,1000,,False,False
sample_000_decl_0,0,0,blanks,5,2,2,offense,20,6-5,-4.048861503601074,27.805642369105477,0.25700002908706665,0.25700000452343374,,0.353000013390556,-42,-29,-5,18,41,47,-42.0,5.674563345813645,6,-42|-19|-8|-5|19|41,83,1000,,True,True
sample_000_decl_0,0,0,blanks,6,3,3,defense,27,6-6,6.7964253425598145,26.257139561073433,0.7680000066757202,,0.768000025418587,0.23199999204371125,-32,-14,7,29,41,43,-40.769998461939394,5.719297823092302,5,-42|-19|2|5|41,83,1000,,False,False
sample_000_decl_0,0,0,blanks,7,0,0,offense,6,6-1,-4.147912979125977,12.927243207403478,0.05000000447034836,0.05000000260770321,,0.16800000937655568,-20,-16,-5,5,16,21,-22.95000020414591,5.404714369489143,8,-20|-17|-13|-7|-5|-2|4|17,37,1000,,False,False
sample_000_decl_0,0,0,blanks,8,3,3,defense,21,1-1,4.843911170959473,21.471067611666765,0.818000078201294,,0.8180000217398629,0.18200000515207648,-28,-12,6,26,32,38,-32.28000001935288,5.756226782691678,5,-32|-11|-8|-6|32,64,1000,,True,True
sample_000_decl_0,0,0,blanks,8,3,3,defense,22,3-2,-8.390228271484375,19.99344374960827,0.6150000095367432,,0.6150000388734043,0.3849999997764826,-33,-28,-12,7,20,35,-33.56000004056841,5.744574360264823,8,-33|-29|-18|-16|-15|-13|-5|32,65,1000,,False,False
sample_000_decl_0,0,0,blanks,8,3,3,defense,24,4-3,-4.871489524841309,20.15028148672223,0.6800000667572021,,0.6800000537186861,0.3199999975040555,-32,-22,-6,10,25,32,-33.190000055357814,5.894015093465161,5,-32|-7|-3|10|32,64,1000,,False,False
sample_000_decl_0,0,0,blanks,8,3,3,defense,25,4-4,2.9777185916900635,21.783327723266222,0.781999945640564,,0.7820000294595957,0.21800000919029117,-32,-15,4,23,32,38,-32.910000069998205,5.754474518759528,4,-32|-6|-3|32,64,1000,,False,False
