base_contrast_id,contrast_id,slice_name,slice_value,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta
ch04_safe_partner_count_vs_other_same_decision,ch04_safe_partner_count_vs_other_same_decision__trick_position=2,trick_position,2,31,0.07840290569490002,-1.2518590619487147,1.9771112637173727,-0.07840290569490002,-0.00806451516766702,-0.015967741638662353
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__candidate_beats_current=false,candidate_beats_current,false,40,-12.167790047079325,-15.731321496721357,-8.80921286188066,12.167790047079325,-0.2268749994924292,0.13675000139046462
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__candidate_would_win_now=false,candidate_would_win_now,false,40,-12.167790047079325,-15.651374506428837,-8.638573621530085,12.167790047079325,-0.2268749994924292,0.13675000139046462
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__count_points=10,count_points,10,23,-15.852219471464986,-21.381060698207307,-10.571174022360992,15.852219471464986,-0.26108695578801894,0.1869565224598931
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__count_points=5,count_points,5,17,-7.182973767028136,-10.440368179889287,-4.19749490057721,7.182973767028136,-0.1805882350925137,0.06882353170829661
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__current_winner_team=defense,current_winner_team,defense,40,-12.167790047079325,-16.047953526917844,-8.691463275235147,12.167790047079325,-0.2268749994924292,0.13675000139046462
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__decl=blanks,decl,blanks,6,-13.936203534404436,-21.48079554053644,-6.334711659699697,13.936203534404436,-0.28666667143503827,0.13999999578421315
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__decl=fours,decl,fours,9,-10.034006569120619,-16.652442436085806,-3.114771197239583,10.034006569120619,-0.131111110560596,0.1672222295569049
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__decl=ones,decl,ones,6,-12.338834782441458,-21.36483895033598,-6.084910602867604,12.338834782441458,-0.23666666075587273,0.178333330899477
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__decl=sixes,decl,sixes,7,-13.823221777166639,-25.56782317097698,-2.3177133174879243,13.823221777166639,-0.31142857138599667,0.020000006471361433
